area_name,grain,postcode_area,quarter,avg_premium_gbp,source,source_url,source_type
Inner London,region,,2023-Q3,1503.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Leeds / Sheffield,region,,2023-Q3,1053.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Manchester / Merseyside,region,,2023-Q3,1154.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Outer London,region,,2023-Q3,1187.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
West Midlands,region,,2023-Q3,1139.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
United Kingdom,national,,2024-Q1,941.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
Central London,postcode_area,EC,2024-Q1,1815.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
North West London,postcode_area,NW,2024-Q1,1529.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
Central Scotland,region,,2024-Q1,871.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
Inner London,region,,2024-Q1,1501.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
Manchester / Merseyside,region,,2024-Q1,998.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2024/price-index-doc-q12024.pdf,confused_pdf
Northern Ireland,region,,2024-Q1,968.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
South West,region,,2024-Q1,606.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
West Midlands,region,,2024-Q1,1157.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
Llandrindod Wells,town,LD,2024-Q1,557.0,confused,https://insurance-edge.net/2024/04/18/rate-of-car-insurance-premium-inflation-is-falling-says-confused-com/,press
United Kingdom,national,,2024-Q2,882.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
West Central London,postcode_area,WC,2024-Q2,1735.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
Central Scotland,region,,2024-Q2,820.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2024/q2-2024-car-price-index-report.pdf,confused_pdf
Inner London,region,,2024-Q2,1404.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2024/q2-2024-car-price-index-report.pdf,confused_pdf
Leeds / Sheffield,region,,2024-Q2,1025.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Manchester / Merseyside,region,,2024-Q2,1064.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
North West,region,,2024-Q2,819.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
North of England,region,,2024-Q2,755.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2024/q2-2024-car-price-index-report.pdf,confused_pdf
Northern Ireland,region,,2024-Q2,925.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
Outer London,region,,2024-Q2,1168.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
South West,region,,2024-Q2,571.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
West Midlands,region,,2024-Q2,1082.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2024/q2-2024-car-price-index-report.pdf,confused_pdf
Llandrindod Wells,town,LD,2024-Q2,525.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
Perth,town,PH,2024-Q2,585.0,confused,https://www.actuarialpost.co.uk/article/car-insurance-premiums-downward-trend-continues-23693.htm,press
United Kingdom,national,,2024-Q3,861.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Liverpool,postcode_area,L,2024-Q3,1031.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
London City,postcode_area,EC,2024-Q3,1253.0,confused,https://www.confused.com/press/releases/2024/q3-2024-price-index,press
Warrington,postcode_area,WA,2024-Q3,855.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
West Central London,postcode_area,WC,2024-Q3,1738.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Inner London,region,,2024-Q3,1357.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Leeds / Sheffield,region,,2024-Q3,977.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Manchester / Merseyside,region,,2024-Q3,1052.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
North West,region,,2024-Q3,830.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Northern Ireland,region,,2024-Q3,929.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Outer London,region,,2024-Q3,1104.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
South Central England,region,,2024-Q3,815.0,confused,https://www.confused.com/press/releases/2024/q3-2024-price-index,press
South West,region,,2024-Q3,571.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
West Midlands,region,,2024-Q3,1068.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Isle of Man,town,IM,2024-Q3,469.0,confused,https://insurance-edge.net/2024/10/14/car-premiums-soften-slightly-says-confused-com-data/,press
Wigan,town,WN,2024-Q3,830.0,confused,https://www.confused.com/press/releases/2024/q3-2024-price-index,press
United Kingdom,national,,2024-Q4,834.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q4-2024/price-index-doc-q12024v2.pdf,confused_pdf
Liverpool,postcode_area,L,2024-Q4,998.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
West Central London,postcode_area,WC,2024-Q4,1731.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-costs-plunge--biggest-drop-in-a-decade-520607.aspx,press
Inner London,region,,2024-Q4,1308.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q4-2024/price-index-doc-q12024v2.pdf,confused_pdf
Manchester / Merseyside,region,,2024-Q4,998.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q4-2024/price-index-doc-q12024v2.pdf,confused_pdf
Northern Ireland,region,,2024-Q4,894.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Outer London,region,,2024-Q4,1081.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Scottish Borders,region,,2024-Q4,590.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-costs-plunge--biggest-drop-in-a-decade-520607.aspx,press
South West,region,,2024-Q4,558.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-costs-plunge--biggest-drop-in-a-decade-520607.aspx,press
West Midlands,region,,2024-Q4,1015.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-costs-plunge--biggest-drop-in-a-decade-520607.aspx,press
Bolton,town,BL,2024-Q4,1049.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Oldham,town,OL,2024-Q4,1065.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-costs-plunge--biggest-drop-in-a-decade-520607.aspx,press
United Kingdom,national,,2025-Q1,777.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2025/price-index-doc-q12025.pdf,confused_pdf
South West London,postcode_area,SW,2025-Q1,1061.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-premiums-post-highest-annual-fall-since-2014-529519.aspx,press
West Central London,postcode_area,WC,2025-Q1,1430.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-premiums-post-highest-annual-fall-since-2014-529519.aspx,press
Central & North Wales,region,,2025-Q1,523.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-premiums-post-highest-annual-fall-since-2014-529519.aspx,press
Inner London,region,,2025-Q1,1208.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2025/price-index-doc-q12025.pdf,confused_pdf
Outer London,region,,2025-Q1,996.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2025/price-index-doc-q12025.pdf,confused_pdf
South West,region,,2025-Q1,532.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-premiums-post-highest-annual-fall-since-2014-529519.aspx,press
West Midlands,region,,2025-Q1,943.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2025/price-index-doc-q12025.pdf,confused_pdf
Llandrindod Wells,town,LD,2025-Q1,455.0,confused,https://www.insurancebusinessmag.com/uk/news/auto-motor/uk-car-insurance-premiums-post-highest-annual-fall-since-2014-529519.aspx,press
United Kingdom,national,,2025-Q2,757.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2025/price-index-q2-2025.pdf,confused_pdf
West Central London,postcode_area,WC,2025-Q2,1410.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Central & North Wales,region,,2025-Q2,524.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Inner London,region,,2025-Q2,1185.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2025/price-index-q2-2025.pdf,confused_pdf
Leeds / Sheffield,region,,2025-Q2,854.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Manchester / Merseyside,region,,2025-Q2,896.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2025/price-index-q2-2025.pdf,confused_pdf
Northern Ireland,region,,2025-Q2,852.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Outer London,region,,2025-Q2,967.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
South West,region,,2025-Q2,515.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
